Title,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Filming Locations,Budget, Action, Adult, Adventure, Animation, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Reality-TV, Romance, Sci-Fi, Sport, Thriller, War, Western,English,Spanish,Japanese,German,Hindi,Filipino,French,Tagalog,Thai,Tamil,Turkish,Russian,Indonesian,Italian,Mandarin,Korean,Swedish,Portuguese,Telugu,Chinese,Malayalam,Malay,Cantonese,Kannada,Danish,Norwegian,Dutch,Arabic,Romanian,Hungarian,Vietnamese,Latin,Serbian,Catalan,Ukrainian,Persian,American Sign Language,Bulgarian,Polish,Bengali
Gut (2012),0.0,0.9295774647887324,0.3926666666666667,3.9,0.47023809523809523,"Directed by Elias. With Jason Vail, Nicholas Wilder, Sarah Schoofs, Kirstianna Mueller. Family man Tom has seen something he can't forget, a mysterious video with an ugly secret that soon spreads into his daily life and threatens to dismantle everything around him.",0.4228780042592029,0.8974358974358974,0.018088144468626752,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Haunting of Mia Moss (2017),1.0,0.9295774647887324,0.3926666666666667,3.8333333333333335,0.45238095238095233,"Directed by Jake Zelch. With Nicola Fiore, Brinke Stevens, Curtis Carnahan, Jake Zelch.",0.7255856404015819,0.9358974358974359,0.00015788947451520776,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleepwalking (2017),1.0,0.14084507042253522,0.3926666666666667,3.7666666666666666,0.43452380952380953,"Directed by David Briggs. With Alysia Topol, Anthony Makela, Kelsi Ashley, Patrick J. Carew.",0.046547003346516576,0.15384615384615385,0.004592100024168947,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treasure Chest of Horrors II (2013),0.19999999999998863,0.9295774647887324,0.2,3.7,0.41666666666666663,"Directed by M. Kelley, Shawn C. Phillips, Alex Powers. With Veronica Ricci, Nicholas Adam Clark, James Cullen Bressack, Nick Waugh. Mona Screamalot, along with her crazy family, prepares you for six short horror films from deep within her trashy treasure chest. This anthology features party killers, giant killer babies, an angry murderous child, a bacterial infection like no other, a murderous cross dresser,a killer in the woods, and Satan. Oh yeah, don't forget the buckets of blood.",0.9674475205354426,0.8974358974358974,0.009026310573822688,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infidus (2015),0.5999999999999659,0.9295774647887324,0.2,5.8,0.40476190476190477,"Directed by Giulio De Santi. With Bonini Mino, Massimo Caratelli, Maurizio Zaffino, Stefania Bonini. In the suburbs of Rome, two disparate lives with only desire for vengeance and redemption in common find their destinies intertwined. Massimo's mind is plagued with images of his wife's violent death at the hands of a criminal gang involved in the production of snuff films. With every memory of the woman he loved replaced by unforgettable images of her horrific final moments, Massimo sees only ...",0.12808031639793124,0.9358974358974359,0.013460521123476428,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In Extremis (2017),1.0,0.9154929577464789,0.2,5.449999999999999,0.4821428571428571,"Directed by Steve Stone. With David O'Hara, Isabelle Allen, Neil Pearson, Toyah Willcox. It's the end of the world - at least their world.",0.2442957103742014,0.9358974358974359,0.017894731673130167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghostlight (2013),0.39999999999997726,0.9295774647887324,0.2,5.1,0.4642857142857143,"Directed by Jeff Ferrell. With Eden Campbell, Lisa Coronado, David A. Crellin, Jeff Ferrell. Andrew wins a radio contest to spend one night alone in a haunted theater on the 80th anniversary of the bloody murder/suicide that occurred within its walls. His prize: $50,000. His task: To spend 12 hours alone inside. The catch: The theater has been reportedly haunted ever since the tragedy 80 years ago, and has been plagued by a series of mysterious deaths in the years since. As Andrew is ...",0.28080316397931243,0.9358974358974359,0.014918415867991664,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasyte: Part 2 (2015),0.5999999999999659,0.4366197183098592,0.30000000000000004,6.5,0.625,"Directed by Takashi Yamazaki. With Shôta Sometani, Eri Fukatsu, Ai Hashimoto, Sadao Abe. Humanity is under attack by human-mimicking flesh-eating alien parasites. One parasite bonds with his young high school student host, and he convinces the parasite to help him stop the others.",0.8719196836020687,0.5128205128205128,0.011942100062853159,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stranger in the House (2015),1.0,0.8169014084507042,0.4,4.6,0.4642857142857143,"Directed by Devon Gummersall. With Annabella Sciorra, Tammy Blanchard, Nathan Darrow, Dennis Boutsikaris. Eve has married the man of her dreams but when they return to live in the house willed to him by his first wife who died under horrific circumstances, it becomes a waking nightmare as Eve falls into a spiral of suspicion and madness.",0.07575296623060541,0.8974358974358974,0.008965784257714654,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tutak Tutak Tutiya (2016),0.8000000000000114,0.35211267605633806,0.33333333333333337,5.4,0.75,"Directed by Vijay. With Tamannaah Bhatia, Karishma Gulati, Esha Gupta, Amy Jackson. The Hindi version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Telugu version is Abhinetri (2016) and the Tamil version is Devi(L) (2016)",0.9090355947672649,0.9358974358974359,0.00598946845257615,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
